"id","Sport","Date","Distance","Durée de déplacement","Nom","FC moy.","Puissance norm","Intensité","Charge","FTP","Poids","W'"
"i44532214","Workout","2024-07-15T17:19:32",,124,"Détente et concentration",62,,,,,73,
"i45159223","WeightTraining","2024-07-17T16:14:01",,621,"Musculation",103,,63.80503463745117,7,,72.1,
"11021408156","Walk","2024-03-23T10:34:36",17887.30078125,14772,"Celles loop",,,,,,72,
"i53091578","Swim","2024-10-23T18:01:53",2000,3726,"Pool Swim",,,51.9290771484375,28,,70,
"i48560865","Swim","2024-09-02T16:34:37",2000,3612,"Pool Swim",126,,80.5277328491211,66,,71,
"i47773632","Swim","2024-08-24T11:01:38",1733.3333740234375,3309,"Pool Swim",130,,85.28671264648438,67,,71,
"i45153958","Swim","2024-07-23T17:20:59",2000,3929,"Pool Swim",128,,77.99505615234375,67,,74,
"i48327496","Swim","2024-08-30T17:16:06",2000,3539,"Pool Swim",129,,83.04317474365234,69,,71,
"i44574468","Swim","2024-07-16T08:35:29",2025,4188,"Swim",123,,76.72193908691406,69,,73,
"i46798006","Swim","2024-08-13T08:14:12",2025,3857,"Pool Swim",127,,81.47174072265625,72,,71,
"i45682978","Swim","2024-07-30T09:28:28",2000,3976,"Pool Swim",128,,83.43456268310547,77,,74,
"i48148032","Swim","2024-08-28T16:38:28",2000,3642,"Afternoon Swim",132,,87.43555450439453,78,,71,
"i54467370","Swim","2024-11-06T16:51:22",2500,4522,"Pool Swim",126,,80.24031066894531,81,,70,
"i52060307","Swim","2024-10-12T14:41:52",2533.333251953125,4849,"Pool Swim",124,,77.30077362060547,81,,70,
"i51371067","Swim","2024-10-05T15:09:08",2500,4422,"Pool Swim",129,,83.89399719238281,87,,70,
"i46583887","Swim","2024-08-10T13:13:05",2333.333251953125,4375,"Pool Swim",129,,83.9034194946289,87,,74,
"i44985483","Swim","2024-07-21T11:47:54",2033.3333740234375,3932,"Pool Swim",135,,91.15039825439453,91,,74,
"i51753002","Swim","2024-10-09T16:32:37",2625,4523,"Pool Swim",131,,86.6595687866211,95,,70,
"i51187525","Swim","2024-10-03T17:18:48",2525,4515,"Pool Swim",133,,89.86051940917969,103,,71,
"i49150779","Run","2024-09-09T12:07:52",3777.7900390625,1195,"Rochebrune Running",128,,64.9428482055664,14,,71,
"i45625574","Run","2024-07-29T16:10:01",4187.02978515625,1372,"Cardio 💓",153,,92.91781616210938,33,,74,
"i44611375","Run","2024-07-16T17:55:10",4778.47021484375,1549,"Elsene Running",159,,97.48941040039062,41,,73,
"i47043425","Run","2024-08-15T18:56:10",5502.669921875,1992,"Elsene Running",150,,87.0571517944336,42,,71,
